DateTime,Battery_voltage,dendro_2_raw_1,dendro_2_raw_2,dendro_2_ratio,dendro_8_raw_1,dendro_8_raw_2,dendro_8_ratio,dendro_9_raw_1,dendro_9_raw_2,dendro_9_ratio,Outside_Air Temperature,Outside_RH,dendro_7_raw_1,dendro_7_raw_2,dendro_7_ratio,dendro_3_raw_1,dendro_3_raw_2,dendro_3_ratio
2026-02-26T16:00:32,12.54,26183.1020,15406.9010,0.5884,26080.8980,19736.7000,0.7567,26189.9000,24506.3980,0.9357,26.2283,82.3516,26179.4000,13735.0000,0.5246,26179.1000,24923.3000,0.9520
2026-02-26T16:15:28,12.53,26187.5020,15435.4990,0.5894,26083.9020,19745.8980,0.7570,26193.8000,24515.7980,0.9359,26.2871,79.7614,26183.8020,13745.8980,0.5250,26183.0000,24954.9000,0.9531
2026-02-26T16:30:24,12.53,26189.9000,15466.8000,0.5906,26085.9980,19755.0000,0.7573,26196.3980,24522.1000,0.9361,26.6396,77.7205,26184.9000,13756.3990,0.5254,26185.4000,24984.5000,0.9541
2026-02-26T16:45:21,12.52,26190.6000,15482.0010,0.5911,26086.7960,19761.1980,0.7575,26197.0000,24526.9980,0.9363,27.1790,77.1121,26185.6980,13762.0000,0.5256,26185.3000,25004.9000,0.9549
2026-02-26T17:00:17,12.52,26190.2980,15485.0000,0.5912,26086.7980,19762.1000,0.7576,26197.5020,24533.5020,0.9365,26.7624,77.9647,26186.2960,13762.3010,0.5256,26185.6000,25020.1000,0.9555
2026-02-26T17:15:13,12.52,26187.5020,15483.5010,0.5913,26084.6020,19760.1000,0.7575,26194.7000,24531.2960,0.9365,26.2844,80.5148,26184.1000,13760.0000,0.5255,26185.0000,25022.2960,0.9556
2026-02-26T17:30:10,12.52,26183.9000,15480.9980,0.5912,26080.8980,19756.8000,0.7575,26190.9980,24526.9980,0.9365,25.8572,81.2225,26180.7960,13755.8980,0.5254,26180.5000,25019.5020,0.9557
2026-02-26T17:45:36,12.52,26184.2000,15480.3990,0.5912,26080.5980,19755.6000,0.7575,26190.2980,24524.9000,0.9364,25.5127,81.8767,26177.8000,13752.6990,0.5254,26177.9020,25018.5020,0.9557
2026-02-26T18:00:32,12.51,26185.2000,15480.4000,0.5912,26082.2000,19755.7000,0.7574,26191.4980,24525.1000,0.9364,24.7730,80.3413,26180.1000,13752.3010,0.5253,26178.2020,25019.0020,0.9557
2026-02-26T18:15:28,12.51,26185.4000,15479.7000,0.5912,26082.4980,19754.6020,0.7574,26192.1000,24524.6000,0.9363,24.0414,82.6454,26180.6000,13750.2990,0.5252,26180.5000,25022.9000,0.9558
